rax,syscall,rdi,rsi,rdx,rcx,r8,r9
0,read,unsigned int fd,char *buf,size_t count,,,
1,write,unsigned int fd,const char *buf,size_t count,,,
2,open,const char *filename,int flags,umode_t mode,,,
3,close,unsigned int fd,,,,,
4,stat,const char *filename,struct __old_kernel_stat *statbuf,,,,
5,fstat,unsigned int fd,struct __old_kernel_stat *statbuf,,,,
6,lstat,const char *filename,struct __old_kernel_stat *statbuf,,,,
7,poll,struct pollfd *ufds,unsigned int nfds,int timeout_msecs,,,
8,lseek,unsigned int fd,off_t offset,unsigned int origin,,,
9,mmap,unsigned long addr,unsigned long len,unsigned long prot,unsigned long flags,unsigned long fd,unsigned long off
10,mprotect,unsigned long start,size_t len,unsigned long prot,,,
11,munmap,unsigned long addr,size_t len,,,,
12,brk,unsigned long brk,,,,,
13,rt_sigaction,int sig,const struct sigaction *act,struct sigaction *oact,size_t sigsetsize,,
14,rt_sigprocmask,int how,sigset_t *nset,sigset_t *oset,size_t sigsetsize,,
15,rt_sigreturn,,,,,,
16,ioctl,unsigned int fd,unsigned int cmd,unsigned long arg,,,
17,pread64,char *buf size_t count,loff_t pos,,,,
18,pwrite64,const char *buf size_t count,loff_t pos,,,,
19,readv,unsigned long fd,const struct iovec *vec,unsigned long vlen,,,
20,writev,unsigned long fd,const struct iovec *vec,unsigned long vlen,,,
21,access,const char *filename,int mode,,,,
22,pipe,int *fildes,,,,,
23,select,int n,fd_set *inp,fd_set *outp,fd_set *exp,struct timeval *tvp,
24,sched_yield,,,,,,
25,mremap,unsigned long addr,unsigned long old_len,unsigned long new_len,unsigned long flags,unsigned long new_addr,
26,msync,unsigned long start,size_t len,int flags,,,
27,mincore,unsigned long start,size_t len,unsigned char *vec,,,
28,madvise,unsigned long start,size_t len_in,int behavior,,,
29,shmget,key_t key,size_t size,int shmflg,,,
30,shmat,int shmid,char *shmaddr,int shmflg,,,
31,shmctl,int shmid,int cmd,struct shmid_ds *buf,,,
32,dup,unsigned int fildes,,,,,
33,dup2,unsigned int oldfd,unsigned int newfd,,,,
34,pause,,,,,,
35,nanosleep,struct timespec *rqtp,struct timespec *rmtp,,,,
36,getitimer,int which,struct itimerval *value,,,,
37,alarm,unsigned int seconds,,,,,
38,setitimer,int which,struct itimerval *value,struct itimerval *ovalue,,,
39,getpid,,,,,,
40,sendfile,int out_fd,int in_fd,off_t *offset,size_t count,,
41,socket,int family,int type,int protocol,,,
42,connect,int fd,struct sockaddr *uservaddr,int addrlen,,,
43,accept,int fd,struct sockaddr *upeer_sockaddr,int *upeer_addrlen,,,
44,sendto,int fd,void *buff,size_t len,unsigned int flags,struct sockaddr *addr,int addr_len
45,recvfrom,int fd,void *ubuf,size_t size,unsigned int flags,struct sockaddr *addr,int *addr_len
46,sendmsg,int fd,struct msghdr *msg,unsigned int flags,,,
47,recvmsg,int fd,struct msghdr *msg,unsigned int flags,,,
48,shutdown,int fd,int how,,,,
49,bind,int fd,struct sockaddr *umyaddr,int addrlen,,,
50,listen,int fd,int backlog,,,,
51,getsockname,int fd,struct sockaddr *usockaddr,int *usockaddr_len,,,
52,getpeername,int fd,struct sockaddr *usockaddr,int *usockaddr_len,,,
53,socketpair,int family,int type,int protocol,int *usockvec,,
54,setsockopt,int fd,int level,int optname,char *optval,int optlen,
55,getsockopt,int fd,int level,int optname,char *optval,int *optlen,
56,clone,unsigned long clone_flags,unsigned long newsp,void *parent_tid,void *child_tid,,
57,fork,,,,,,
58,vfork,,,,,,
59,execve,const char *name,const char *const *argv,const char *const *envp,,,
60,exit,int error_code,,,,,
61,wait4,pid_t upid,int *stat_addr,int options,struct rusage *ru,,
62,kill,pid_t pid,int sig,,,,
63,uname,struct old_utsname *name,,,,,
64,semget,key_t key,int nsems,int semflg,,,
65,semop,int semid,struct sembuf *tsops,unsigned nsops,,,
66,semctl,int semnum int cmd,union semun arg,,,,
67,shmdt,char *shmaddr,,,,,
68,msgget,key_t key,int msgflg,,,,
69,msgsnd,int msqid,struct msgbuf *msgp,size_t msgsz,int msgflg,,
70,msgrcv,int msqid,struct msgbuf *msgp,size_t msgsz,long msgtyp,int msgflg,
71,msgctl,int msqid,int cmd,struct msqid_ds *buf,,,
72,fcntl,unsigned int fd,unsigned int cmd,unsigned long arg,,,
73,flock,unsigned int fd,unsigned int cmd,,,,
74,fsync,unsigned int fd,,,,,
75,fdatasync,unsigned int fd,,,,,
76,truncate,const char *path,long length,,,,
77,ftruncate,unsigned int fd,unsigned long length,,,,
78,getdents,unsigned int fd,struct linux_dirent *dirent,unsigned int count,,,
79,getcwd,char *buf,unsigned long size,,,,
80,chdir,const char *filename,,,,,
81,fchdir,unsigned int fd,,,,,
82,rename,const char *oldname,const char *newname,,,,
83,mkdir,const char *pathname,umode_t mode,,,,
84,rmdir,const char *pathname,,,,,
