eax,syscall,ebx,ecx,edx,esi,edi,ebp
0,restart,,,,,,,,
1,exit,int error_code,,,,,,,
2,fork,,,,,,,,
3,read,unsigned int fd,char *buf,size_t count,,,,,
4,write,unsigned int fd,const char *buf,size_t count,,,,,
5,open,const char *filename,int flags,umode_t mode,,,,,
6,close,unsigned int fd,,,,,,,
7,waitpid,pid_t pid,int *stat_addr,int options,,,,,
8,creat,const char *pathname,umode_t mode,,,,,,
9,link,const char *oldname,const char *newname,,,,,,
10,unlink,const char *pathname,,,,,,,
11,execve,const char *name,const char *const *argv,const char *const *envp,,,,,
12,chdir,const char *filename,,,,,,,
13,time,time_t *tloc,,,,,,,
14,mknod,const char *filename,umode_t mode,unsigned dev,,,,,
15,chmod,const char *filename,umode_t mode,,,,,,
16,lchown,const char *filename,uid_t user,gid_t group,,,,,
17,break,,,,,,,,
18,oldstat,const char *filename,struct __old_kernel_stat *statbuf,,,,,,
19,lseek,unsigned int fd,off_t offset,unsigned int origin,,,,,
20,getpid,,,,,,,,
21,mount,char *dev_name,char *dir_name,char *type,unsigned long flags,void *data,,,
22,umount,char *name,int flags,,,,,,
23,setuid,uid_t uid,,,,,,,
24,getuid,,,,,,,,
25,stime,time_t *tptr,,,,,,,
26,ptrace,long request,long pid,unsigned long addr,unsigned long data,,,,
27,alarm,unsigned int seconds,,,,,,,
28,oldfstat,unsigned int fd,struct __old_kernel_stat *statbuf,,,,,,
29,pause,,,,,,,,
30,utime,char *filename,struct utimbuf *times,,,,,,
31,stty,,,,,,,,
32,gtty,,,,,,,,
33,access,const char *filename,int mode,,,,,,
34,nice,int increment,,,,,,,
35,ftime,,,,,,,,
36,sync,,,,,,,,
37,kill,pid_t pid,int sig,,,,,,
38,rename,const char *oldname,const char *newname,,,,,,
39,mkdir,const char *pathname,umode_t mode,,,,,,
40,rmdir,const char *pathname,,,,,,,
41,dup,unsigned int fildes,,,,,,,
42,pipe,int *fildes,,,,,,,
43,times,struct tms *tbuf,,,,,,,
44,prof,,,,,,,,
45,brk,unsigned long brk,,,,,,,
46,setgid,gid_t gid,,,,,,,
47,getgid,,,,,,,,
48,signal,int sig,__sighandler_t handler,,,,,,
49,geteuid,,,,,,,,
50,getegid,,,,,,,,
51,acct,const char *name,,,,,,,
52,umount2,char *name,int flags,,,,,,
53,lock,,,,,,,,
54,ioctl,unsigned int fd,unsigned int cmd,unsigned long arg,,,,,
55,fcntl,unsigned int fd,unsigned int cmd,unsigned long arg,,,,,
56,mpx,,,,,,,,
57,setpgid,pid_t pid,pid_t pgid,,,,,,
58,ulimit,,,,,,,,
59,oldolduname,struct oldold_utsname *name,,,,,,,
60,umask,int mask,,,,,,,
61,chroot,const char *filename,,,,,,,
62,ustat,unsigned dev,struct ustat *ubuf,,,,,,
63,dup2,unsigned int oldfd,unsigned int newfd,,,,,,
64,getppid,,,,,,,,
65,getpgrp,,,,,,,,
66,setsid,,,,,,,,
67,sigaction,int sig,const struct old_sigaction *act,struct old_sigaction *oact,,,,,
68,sgetmask,,,,,,,,
69,ssetmask,int newmask,,,,,,,
70,setreuid,uid_t ruid,uid_t euid,,,,,,
71,setregid,gid_t rgid,gid_t egid,,,,,,
72,sigsuspend,int history0,int history1,old_sigset_t mask,,,,,
73,sigpending,old_sigset_t *set,,,,,,,
74,sethostname,char *name,int len,,,,,,
75,setrlimit,unsigned int resource,struct rlimit *rlim,,,,,,
76,getrlimit,unsigned int resource,struct rlimit *rlim,,,,,,
77,getrusage,int who,struct rusage *ru,,,,,,
78,gettimeofday,struct timeval *tv,struct timezone *tz,,,,,,
79,settimeofday,struct timeval *tv,struct timezone *tz,,,,,,
80,getgroups,int gidsetsize,gid_t *grouplist,,,,,,
81,setgroups,int gidsetsize,gid_t *grouplist,,,,,,
82,select,int n,fd_set *inp,fd_set *outp,fd_set *exp,struct timeval *tvp,,,
83,symlink,const char *oldname,const char *newname,,,,,,
84,oldlstat,const char *filename,struct __old_kernel_stat *statbuf,,,,,,
85,readlink,const char *path,char *buf,int bufsiz,,,,,
86,uselib,const char *library,,,,,,,
87,swapon,const char *specialfile,int swap_flags,,,,,,
88,reboot,int magic1,int magic2,unsigned int cmd,void *arg,,,,
89,readdir,unsigned int fd,struct old_linux_dirent *dirent,unsigned int count,,,,,
90,mmap,unsigned long addr,unsigned long len,unsigned long prot,unsigned long flags,unsigned long fd,unsigned long off,,
91,munmap,unsigned long addr,size_t len,,,,,,
92,truncate,const char *path,long length,,,,,,
93,ftruncate,unsigned int fd,unsigned long length,,,,,,
94,fchmod,unsigned int fd,umode_t mode,,,,,,
95,fchown,unsigned int fd,uid_t user,gid_t group,,,,,
96,getpriority,int which,int who,,,,,,
97,setpriority,int which,int who,int niceval,,,,,
98,profil,,,,,,,,
99,statfs,const char *pathname,struct statfs *buf,,,,,,
100,fstatfs,unsigned int fd,struct statfs *buf,,,,,,
101,ioperm,unsigned long from,unsigned long num,int turn_on,,,,,
102,socketcall,int call,unsigned long *args,,,,,,
103,syslog,int type,char *buf,int len,,,,,
104,setitimer,int which,struct itimerval *value,struct itimerval *ovalue,,,,,
105,getitimer,int which,struct itimerval *value,,,,,,
106,stat,const char *filename,struct __old_kernel_stat *statbuf,,,,,,
107,lstat,const char *filename,struct __old_kernel_stat *statbuf,,,,,,
108,fstat,unsigned int fd,struct __old_kernel_stat *statbuf,,,,,,
109,olduname,struct oldold_utsname *name,,,,,,,
110,iopl,unsigned int level,,,,,,,
111,vhangup,,,,,,,,
112,idle,,,,,,,,
113,vm86old,struct vm86_struct *v86,,,,,,,
114,wait4,pid_t upid,int *stat_addr,int options,struct rusage *ru,,,,
115,swapoff,const char *specialfile,,,,,,,
116,sysinfo,struct sysinfo *info,,,,,,,
117,ipc,unsigned int call,int first,unsigned long second,unsigned long third,void *ptr,long fifth,,
118,fsync,unsigned int fd,,,,,,,
119,sigreturn,,,,,,,,
120,clone,unsigned long clone_flags,unsigned long newsp,void *parent_tid,void *child_tid,,,,
121,setdomainname,char *name,int len,,,,,,
122,uname,struct old_utsname *name,,,,,,,
123,modify_ldt,int func,void *ptr,unsigned long bytecount,,,,,
124,adjtimex,struct timex *txc_p,,,,,,,
125,mprotect,unsigned long start,size_t len,unsigned long prot,,,,,
126,sigprocmask,int how,old_sigset_t *nset,old_sigset_t *oset,,,,,
127,create_module,,,,,,,,
128,init_module,void *umod,unsigned long len,const char *uargs,,,,,
129,delete_module,const char *name_user,unsigned int flags,,,,,,
130,get_kernel_syms,,,,,,,,
131,quotactl,unsigned int cmd,const char *special,qid_t id,void *addr,,,,
132,getpgid,pid_t pid,,,,,,,
133,fchdir,unsigned int fd,,,,,,,
134,bdflush,int func,long data,,,,,,
135,sysfs,int option,unsigned long arg1,unsigned long arg2,,,,,
136,personality,unsigned int personality,,,,,,,
137,afs_syscall,,,,,,,,
138,setfsuid,uid_t uid,,,,,,,
139,setfsgid,gid_t gid,,,,,,,
140,_llseek,unsigned int fd,unsigned long offset_high,unsigned long offset_low,loff_t *result,unsigned int origin,,,
141,getdents,unsigned int fd,struct linux_dirent *dirent,unsigned int count,,,,,
142,_newselect,int n,fd_set *inp,fd_set *outp,fd_set *exp,struct timeval *tvp,,,
143,flock,unsigned int fd,unsigned int cmd,,,,,,
144,msync,unsigned long start,size_t len,int flags,,,,,
145,readv,unsigned long fd,const struct iovec *vec,unsigned long vlen,,,,,
146,writev,unsigned long fd,const struct iovec *vec,unsigned long vlen,,,,,
147,getsid,pid_t pid,,,,,,,
148,fdatasync,unsigned int fd,,,,,,,
149,_sysctl,struct __sysctl_args *args,,,,,,,
150,mlock,unsigned long start,size_t len,,,,,,
151,munlock,unsigned long start,size_t len,,,,,,
152,mlockall,int flags,,,,,,,
153,munlockall,,,,,,,,
154,sched_setparam,pid_t pid,struct sched_param *param,,,,,,
155,sched_getparam,pid_t pid,struct sched_param *param,,,,,,
156,sched_setscheduler,pid_t pid,int policy,struct sched_param *param,,,,,
157,sched_getscheduler,pid_t pid,,,,,,,
158,sched_yield,,,,,,,,
159,sched_get_priority_max,int policy,,,,,,,
160,sched_get_priority_min,int policy,,,,,,,
161,sched_rr_get_interval,pid_t pid,struct timespec *interval,,,,,,
162,nanosleep,struct timespec *rqtp,struct timespec *rmtp,,,,,,
163,mremap,unsigned long addr,unsigned long old_len,unsigned long new_len,unsigned long flags,unsigned long new_addr,,,
164,setresuid,uid_t ruid,uid_t euid,uid_t suid,,,,,
165,getresuid,uid_t *ruidp,uid_t *euidp,uid_t *suidp,,,,,
166,vm86,unsigned long cmd,unsigned long arg,,,,,,
167,query_module,,,,,,,,
168,poll,struct pollfd *ufds,unsigned int nfds,int timeout_msecs,,,,,
169,nfsservctl,,,,,,,,
170,setresgid,gid_t rgid,gid_t egid,gid_t sgid,,,,,
171,getresgid,gid_t *rgidp,gid_t *egidp,gid_t *sgidp,,,,,
172,prctl,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,,,
173,rt_sigreturn,,,,,,,,
174,rt_sigaction,int sig,const struct sigaction *act,struct sigaction *oact,size_t sigsetsize,,,,
175,rt_sigprocmask,int how,sigset_t *nset,sigset_t *oset,size_t sigsetsize,,,,
176,rt_sigpending,sigset_t *set,size_t sigsetsize,,,,,,
177,rt_sigtimedwait,const sigset_t *uthese,siginfo_t *uinfo,const struct timespec *uts,size_t sigsetsize,,,,
178,rt_sigqueueinfo,pid_t pid,int sig,siginfo_t *uinfo,,,,,
179,rt_sigsuspend,sigset_t *unewset,size_t sigsetsize,,,,,,
180,pread64,char *buf size_t count,loff_t pos,,,,,,
181,pwrite64,const char *buf size_t count,loff_t pos,,,,,,
182,chown,const char *filename,uid_t user,gid_t group,,,,,
183,getcwd,char *buf,unsigned long size,,,,,,
184,capget,cap_user_header_t header,cap_user_data_t dataptr,,,,,,
185,capset,cap_user_header_t header,const cap_user_data_t data,,,,,,
186,sigaltstack,const stack_t *uss,stack_t *uoss,,,,,,
187,sendfile,int out_fd,int in_fd,off_t *offset,size_t count,,,,
188,getpmsg,,,,,,,,
189,putpmsg,,,,,,,,
190,vfork,,,,,,,,
191,ugetrlimit,unsigned int resource,struct rlimit *rlim,,,,,,
192,mmap2,unsigned long addr,unsigned long len,unsigned long prot,unsigned long flags,unsigned long fd,unsigned long pgoff,,
193,truncate64,loff_t length,,,,,,,
194,ftruncate64,loff_t length,,,,,,,
195,stat64,const char *filename,struct stat64 *statbuf,,,,,,
196,lstat64,const char *filename,struct stat64 *statbuf,,,,,,
197,fstat64,unsigned long fd,struct stat64 *statbuf,,,,,,
198,lchown32,const char *filename,uid_t user,gid_t group,,,,,
199,getuid32,,,,,,,,
200,getgid32,,,,,,,,
201,geteuid32,,,,,,,,
202,getegid32,,,,,,,,
203,setreuid32,uid_t ruid,uid_t euid,,,,,,
204,setregid32,gid_t rgid,gid_t egid,,,,,,
205,getgroups32,int gidsetsize,gid_t *grouplist,,,,,,
206,setgroups32,int gidsetsize,gid_t *grouplist,,,,,,
207,fchown32,unsigned int fd,uid_t user,gid_t group,,,,,
208,setresuid32,uid_t ruid,uid_t euid,uid_t suid,,,,,
209,getresuid32,uid_t *ruidp,uid_t *euidp,uid_t *suidp,,,,,
210,setresgid32,gid_t rgid,gid_t egid,gid_t sgid,,,,,
211,getresgid32,gid_t *rgidp,gid_t *egidp,gid_t *sgidp,,,,,
212,chown32,const char *filename,uid_t user,gid_t group,,,,,
213,setuid32,uid_t uid,,,,,,,
214,setgid32,gid_t gid,,,,,,,
215,setfsuid32,uid_t uid,,,,,,,
216,setfsgid32,gid_t gid,,,,,,,
217,pivot_root,const char *new_root,const char *put_old,,,,,,
218,mincore,unsigned long start,size_t len,unsigned char *vec,,,,,
219,madvise,unsigned long start,size_t len_in,int behavior,,,,,
220,getdents64,unsigned int fd,struct linux_dirent64 *dirent,unsigned int count,,,,,
221,fcntl64,unsigned int fd,unsigned int cmd,unsigned long arg,,,,,
224,gettid,,,,,,,,
225,readahead,loff_t offset size_t count,,,,,,,
226,setxattr,const char *pathname,const char *name,const void *value,size_t size,int flags,,,
227,lsetxattr,const char *pathname,const char *name,const void *value,size_t size,int flags,,,
228,fsetxattr,int fd,const char *name,const void *value,size_t size,int flags,,,
229,getxattr,const char *pathname,const char *name,void *value,size_t size,,,,
230,lgetxattr,const char *pathname,const char *name,void *value,size_t size,,,,
231,fgetxattr,int fd,const char *name,void *value,size_t size,,,,
232,listxattr,const char *pathname,char *list,size_t size,,,,,
233,llistxattr,const char *pathname,char *list,size_t size,,,,,
234,flistxattr,int fd,char *list,size_t size,,,,,
235,removexattr,const char *pathname,const char *name,,,,,,
236,lremovexattr,const char *pathname,const char *name,,,,,,
237,fremovexattr,int fd,const char *name,,,,,,
238,tkill,pid_t pid,int sig,,,,,,
239,sendfile64,int out_fd,int in_fd,loff_t *offset,size_t count,,,,
240,futex,u32 *uaddr,int op,u32 val,struct timespec *utime,u32 *uaddr2,u32 val3,,
241,sched_setaffinity,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,,,,,
242,sched_getaffinity,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,,,,,
243,set_thread_area,struct user_desc *u_info,,,,,,,
244,get_thread_area,struct user_desc *u_info,,,,,,,
245,io_setup,unsigned nr_events,aio_context_t *ctxp,,,,,,
246,io_destroy,aio_context_t ctx,,,,,,,
247,io_getevents,aio_context_t ctx_id,long min_nr,long nr,struct io_event *events,struct timespec *timeout,,,
248,io_submit,aio_context_t ctx_id,long nr,struct iocb * *iocbpp,,,,,
249,io_cancel,aio_context_t ctx_id,struct iocb *iocb,struct io_event *result,,,,,
250,fadvise64,loff_t offset size_t len,int advice,,,,,,
252,exit_group,int error_code,,,,,,,
253,lookup_dcookie,char *buf size_t len,,,,,,,
254,epoll_create,int size,,,,,,,
255,epoll_ctl,int epfd,int op,int fd,struct epoll_event *event,,,,
256,epoll_wait,int epfd,struct epoll_event *events,int maxevents,int timeout,,,,
257,remap_file_pages,unsigned long start,unsigned long size,unsigned long prot,unsigned long pgoff,unsigned long flags,,,
258,set_tid_address,int *tidptr,,,,,,,
259,timer_create,const clockid_t which_clock,struct sigevent *timer_event_spec,timer_t *created_timer_id,,,,,
260,timer_settime,timer_t timer_id,int flags,const struct itimerspec *new_setting,struct itimerspec *old_setting,,,,
261,timer_gettime,timer_t timer_id,struct itimerspec *setting,,,,,,
262,timer_getoverrun,timer_t timer_id,,,,,,,
263,timer_delete,timer_t timer_id,,,,,,,
264,clock_settime,const clockid_t which_clock,const struct timespec *tp,,,,,,
265,clock_gettime,const clockid_t which_clock,struct timespec *tp,,,,,,
266,clock_getres,const clockid_t which_clock,struct timespec *tp,,,,,,
267,clock_nanosleep,const clockid_t which_clock,int flags,const struct timespec *rqtp,struct timespec *rmtp,,,,
268,statfs64,const char *pathname,size_t sz,struct statfs64 *buf,,,,,
269,fstatfs64,unsigned int fd,size_t sz,struct statfs64 *buf,,,,,
270,tgkill,pid_t tgid,pid_t pid,int sig,,,,,
271,utimes,char *filename,struct timeval *utimes,,,,,,
272,fadvise64_64,loff_t offset loff_t len,int advice,,,,,,
273,vserver,,,,,,,,
274,mbind,unsigned long start,unsigned long len,unsigned long mode,unsigned long *nmask,unsigned long maxnode,unsigned flags,,
275,get_mempolicy,int *policy,unsigned long *nmask,unsigned long maxnode,unsigned long addr,unsigned long flags,,,
276,set_mempolicy,int mode,unsigned long *nmask,unsigned long maxnode,,,,,
277,mq_open,const char *u_name,int oflag,umode_t mode,struct mq_attr *u_attr,,,,
278,mq_unlink,const char *u_name,,,,,,,
279,mq_timedsend,mqd_t mqdes,const char *u_msg_ptr,size_t msg_len,unsigned int msg_prio,const struct timespec *u_abs_timeout,,,
